(1,2388)	(2388,1)	(1,1705)	(1705,959)	(959,875)	(875,1322)	(1322,1751)	(1751,102)	(102,187)	(187,2624)	(2624,2493)	(2493,1000)	(1000,2560)	(2560,622)	(622,2809)	(2809,954)	(954,750)	(750,684)	(684,41)	(41,678)	(678,8)	(8,147)	(147,666)	(666,464)	(464,2299)	(2299,882)	(882,1045)	(1045,1048)	(1048,1348)
(1,583)	(583,1172)	(1172,992)	(992,118)	(118,2899)	(2899,1053)	(1053,2154)	(2154,1607)	(1607,1839)	(1839,1931)	(1931,2963)	(2963,2363)	(2363,1438)	(1438,144)	(144,899)	(899,330)	(330,123)	(123,51)	(51,76)	(76,1397)	(1397,394)	(394,378)	(378,1927)	(1927,1229)	(1229,1024)	(1024,224)	(224,1482)	(1482,142)	(142,1028)
(1,61)	(61,0)	(0,2205)	(2205,2739)	(2739,520)	(520,2195)	(2195,1455)	(1455,1795)	(1795,8)	(8,1810)	(1810,915)	(915,2274)	(2274,709)	(709,1938)	(1938,2530)	(2530,263)	(263,33)	(33,286)	(286,1611)	(1611,2340)	(2340,41)	(41,330)	(330,911)	(911,1098)	(1098,1925)	(1925,545)	(545,146)	(146,47)	(47,215)
(1,1735)	(1735,357)	(357,632)	(632,959)	(959,381)	(381,126)	(126,389)	(389,636)	(636,194)	(194,493)	(493,138)	(138,1014)	(1014,377)	(377,1100)	(1100,2404)	(2404,103)	(103,747)	(747,1593)	(1593,2073)	(2073,1161)	(1161,538)	(538,552)	(552,692)	(692,2310)	(2310,1020)	(1020,2068)	(2068,1850)	(1850,2068)	(2068,1951)
(1,528)	(528,184)	(184,864)	(864,486)	(486,58)	(58,46)	(46,1576)	(1576,2883)	(2883,1404)	(1404,2852)	(2852,2616)	(2616,439)	(439,1405)	(1405,1634)	(1634,1643)	(1643,1633)	(1633,43)	(43,835)	(835,53)	(53,2006)	(2006,1188)	(1188,1978)	(1978,1067)	(1067,1227)	(1227,1139)	(1139,694)	(694,2234)	(2234,724)	(724,301)
(1,1735)	(1735,1954)	(1954,1013)	(1013,1903)	(1903,1640)	(1640,2203)	(2203,543)	(543,2034)	(2034,1035)	(1035,969)	(969,2616)	(2616,2060)	(2060,1632)	(1632,93)	(93,139)	(139,2334)	(2334,2275)	(2275,899)	(899,1832)	(1832,1669)	(1669,2941)	(2941,2718)	(2718,1459)	(1459,2315)	(2315,598)	(598,72)	(72,30)	(30,550)	(550,861)
(1,8)	(8,873)	(873,1469)	(1469,747)	(747,94)	(94,57)	(57,263)	(263,2530)	(2530,2521)	(2521,1129)	(1129,2580)	(2580,800)	(800,240)	(240,80)	(80,1111)	(1111,2809)	(2809,1690)	(1690,1886)	(1886,17)	(17,825)	(825,2463)	(2463,2064)	(2064,2882)	(2882,260)	(260,2078)	(2078,497)	(497,38)	(38,132)	(132,494)
(1,2234)	(2234,2195)	(2195,667)	(667,1309)	(1309,305)	(305,34)	(34,159)	(159,333)	(333,2638)	(2638,1309)	(1309,1715)	(1715,333)	(333,167)	(167,1437)	(1437,2537)	(2537,1437)	(1437,1125)	(1125,654)	(654,467)	(467,87)	(87,1593)	(1593,188)	(188,2431)	(2431,654)	(654,2703)	(2703,1370)	(1370,201)	(201,1318)	(1318,2145)
(1,127)	(127,693)	(693,209)	(209,1748)	(1748,2592)	(2592,2332)	(2332,1614)	(1614,206)	(206,1135)	(1135,28)	(28,1899)	(1899,0)	(0,388)	(388,1827)	(1827,2275)	(2275,1727)	(1727,915)	(915,1207)	(1207,1955)	(1955,884)	(884,2527)	(2527,747)	(747,663)	(663,1056)	(1056,1850)	(1850,596)	(596,2024)	(2024,184)	(184,410)
(1,546)	(546,329)	(329,114)	(114,205)	(205,1056)	(1056,368)	(368,1892)	(1892,1576)	(1576,569)	(569,826)	(826,1718)	(1718,2611)	(2611,1309)	(1309,735)	(735,410)	(410,2639)	(2639,2655)	(2655,1809)	(1809,2219)	(2219,2)	(2,597)	(597,1505)	(1505,1369)	(1369,2688)	(2688,2615)	(2615,2352)	(2352,6)	(6,633)	(633,1032)
(1,139)	(139,458)	(458,1954)	(1954,747)	(747,1085)	(1085,21)	(21,137)	(137,1951)	(1951,198)	(198,0)	(0,2040)	(2040,139)	(139,2309)	(2309,1934)	(1934,961)	(961,1342)	(1342,494)	(494,603)	(603,919)	(919,1292)	(1292,843)	(843,312)	(312,1973)	(1973,1050)	(1050,868)	(868,2312)	(2312,1574)	(1574,2060)	(2060,1396)
(1,726)	(726,0)	(0,141)	(141,194)	(194,493)	(493,60)	(60,831)	(831,102)	(102,1751)	(1751,1030)	(1030,1184)	(1184,1437)	(1437,874)	(874,1766)	(1766,2739)	(2739,31)	(31,30)	(30,58)	(58,2214)	(2214,1470)	(1470,2136)	(2136,87)	(87,123)	(123,58)	(58,1611)	(1611,1229)	(1229,2075)	(2075,2369)	(2369,2385)
(1,231)	(231,175)	(175,1417)	(1417,92)	(92,1679)	(1679,1654)	(1654,2864)	(2864,2527)	(2527,2277)	(2277,1478)	(1478,58)	(58,40)	(40,1579)	(1579,499)	(499,2784)	(2784,72)	(72,2055)	(2055,2703)	(2703,2440)	(2440,1478)	(1478,1515)	(1515,678)	(678,2024)	(2024,516)	(516,905)	(905,1121)	(1121,1039)	(1039,1360)	(1360,2328)
(1,129)	(129,2431)	(2431,506)	(506,2883)	(2883,1610)	(1610,1352)	(1352,329)	(329,118)	(118,755)	(755,847)	(847,257)	(257,570)	(570,257)	(257,227)	(227,47)	(47,1575)	(1575,850)	(850,1104)	(1104,850)	(850,959)	(959,381)	(381,581)	(581,445)	(445,523)	(523,360)	(360,2880)	(2880,2331)	(2331,2862)	(2862,28)
(1,378)	(378,1006)	(1006,74)	(74,2609)	(2609,2635)	(2635,1628)	(1628,1643)	(1643,578)	(578,921)	(921,1150)	(1150,516)	(516,1071)	(1071,481)	(481,1443)	(1443,2789)	(2789,2690)	(2690,564)	(564,193)	(193,309)	(309,1531)	(1531,1374)	(1374,1408)	(1408,2052)	(2052,156)	(156,2613)	(2613,546)	(546,2347)	(2347,1873)	(1873,175)
